PRO;jumau ist dafür.
PRO;Ich finde es allerdings sehr schlecht, dass im Moment anscheinend keine klare Regelung existiert.
PRO;Sehr dafür.
PRO;Und, natürlich, eine schöne Straße wäre noch besser.
PRO;Die Idee finde ich sehr schön!
PRO;Nice Idea!!!
PRO;Würde sicherlich auch funktionieren.
PRO;Tolle Idee!
CONTRA;Aber traditionelle Sandkisten mit Gerät:  Nein!
CONTRA;Das würde eine abgeschlossene festgelegte Fläche verhindern.
PRO;Einen kleinen Hügel fände ich völlig ausreichend.
CONTRA;Ich sehe das Anlegen von einfachen Spielplätzen eher kritisch und das obwohl ich selbst Kinder habe.
CONTRA;Ich bin gegen festgelegte Sport Zonen für Skaten, Fahrrad, joggen, Kiten, surfen.
PRO;Klar.
PRO;Dafür!
PRO;Ich bin definitiv dafür legale Flächen zu schaffen, die für jedermann/frau zugänglich sind.
PRO;Wie auch immer.
PRO;tolle idee.
PRO;Genau, man könnte diese, wenn sie restauriert ist, ja dann Hatun-Sürücü-Brücke nennen.
PRO;Finde ich eine gute Idee.
PRO;Klasse Idee!
PRO;Sinnvoller Vorschlag
PRO;Insbesondere die Verbindung mit einem Trainingsplatz finde ich super - liegt voll im Trend!
PRO;Hier hat Constantin den selben Vorschlag gemacht: [Vorhandene Ringbahn Brücke Richtung Oberlandstraße reaktivieren] (https://tempelhofer-feld.berlin.de/i/tempelhofer-feld/proposal/116-Vorhandene_Ringbahn_Br%C3%BCcke_Richtung_Ober)
CONTRA;Ich bin gegen festgelegte Kitezonen auf dem Feld.
PRO;Die Idee der Bepflanzung mit Obstbäumen (auf Teilflächen!) ist super
PRO;Klingt genial!
PRO;Gute Idee.
PRO;Die Andeutung der Kreisform (siehe Tiquitan's Kommentar) finde ich auch sehr spannend.
PRO;Absolut dafür
PRO;Sollte dieser (meiner Meinung nach hervorragende) Vorschlag umgesetzt werden, empfehle ich eine Beratung/Rücksprache mit der Stadtverwaltung von San Francisco (USA).
PRO;Das wäre ja voll geil!
PRO;gute Idee.
PRO;An erster Stelle die Grillplätze !
PRO;Meine Meinung!
PRO;Bei anderen Anlagebestandteilen sehe ich das auch eher so, dass jede/r frei nutzen können sollte.
CONTRA;Deshalb bin ich gegen zusätzliche Baumpflanzungen.
CONTRA;Also das Flughafengebäude ist ganz sicher keine Option.
CONTRA;Überzeugt mich als Feldhasen immer noch nicht so richtig.
PRO;Bin dafür.
PRO;Wenn sich das realisieren liese wäre ich dafür.
PRO;Bitte unbedingt dran bleiben!
PRO;Im Flugzeug wäre mal was anderes.
PRO;Boulderbereich ebenso.
PRO;Ich bin auch für die Erhaltung der Rollbahnen.
PRO;Die Idee ist echt toll: Es ist super, dass die Leute kostenlose Obst essen können.
PRO;Bin auch dafür, verstehe gar nicht warum sich immer Miesepeter gegen alles sperren müssen.
PRO;Ich habe mir das mal auf der Karte angesehen: Google-Karte mit Markierungen (https://www.google.com/maps/d/edit?mid=zDUeqwXkMPrk.kZvKNcDwt0ks)
PRO;Richtig, ich denke, darüber sind sich alle einig, für Landkiten und Landsurfen keine Flächen zu sperren!
PRO;Das Feld ist gut, aber warum sollte es nicht besser werden?
CONTRA;nichts gegen Harald Juhnke, aber ich halte diesen Vorschlag auch für eine Schnapsidee, und zwar für eine kostspielige.
PRO;In dem Fall bin ich dann dafür, dass das dauerhaft ermöglicht wird.
PRO;Seh ich genauso.
PRO;Ich wünsche mir diese nicht nur auf dem Feld.
PRO;Ja einen südlichen Zugang finde ich auch sinnvoll, wenn er dann auf dem äußeren Rundweg endet.
PRO;Pille wünscht sich ein Beachvolleyballfeld
PRO;Deshalb ganz klar DAFÜR!!
PRO;Also Ja mit etwas Zweifel, vielleicht kannst du deinen Vorschlag noch etwas genauer darstellen.
CONTRA;Ein Kletterfelsen, wie in einem der Wettbewerbsentwürfe gezeigt (60m hoher Felsenturm), wird sicher keine Chance haben.
PRO;Wenn ich Dich richtig verstehe, meinst Du Wege zum THF - dagegen ist doch nichts einzuwenden!
PRO;hallo Anniqa, vielen Dank für das schöne Foto, sowas kann ich mir auch gut vorstellen, aber ehr wie du gesagt hast ein großer flacher Naturteich im Vergleich zum großen THF.
PRO;Urban gardening, kleinteilige Lösungen, Workshops zu nachhaltiger Lebensmittelproduktion im eigenen Hinterhof..
PRO;Er hat diese kleine Erinnerung verdient...
PRO;Die Idee als solche ist super und zeigt, dass es doch möglich ist zeitgenössisch mit Historischem umzugehen ohne den Ort gleich mit Tafeln etc. überfrachten zu wollen.
CONTRA;Oh, nein...
PRO;Wenn aus einem Kinder- und  Jugend Beteiligungsverfahren Vorschläge für ein ganz anderes Spiel als in der Hasenheide und anderen Parks für eine Kinder- und Jugendlandschaft entsteht ist dies begrüßenswert und in die Gestaltung einzubeziehen.
CONTRA;Deshalb sollte von Pflanzungen von Bäumen abgesehen werden.
CONTRA;Nutzgärten haben dort gar nichts verloren - meint die Baumfee!
PRO;Die Idee ist nicht neu, aber gut.
CONTRA;Unabhängig dessen, kenne ich derartige Eventkonzepte und kann Marius in seiner Meinung nur unterstützen, dass eine Erfrischung in einem stickigen  Flugzeug nicht wirklich erfrischend ist.
CONTRA;mir ging es so, dass ich eher gegen den vorschlag bin (aus genannten befürchtungen) aber nicht gegen stimmen wollte, weil das dann sofort als kinderfeindlichkeit interpretiert würde.
PRO;Fazit: findet sich ein Betreiber, der die Betriebssicherheit gewährleistet, ist die Idee des Kletterfelsens hervorragend.
PRO;Unbedingt!
CONTRA;Ob gerade der Wavegarden das richtige ist?
PRO;Super gute Idee!
PRO;Unterstützung garantiert !!!
CONTRA;Ich bin der Meinung, dass mehr Asphalt das Letzte ist, was das Feld braucht.
PRO;Ich bin gespannt!
PRO;Dem möchte ich mich gerne anschließen.
CONTRA;wie die meisten anderen Vorschläge hier auch: Ihr wollt einfach ein Stück vom Feld für Euch alleine!
PRO;Ganz gleich welche Ausprägung ein Spielplatz hat, es müssen welche geplant werden.
PRO;sehr guter Vorschlag, Sollte man unbedingt machen
PRO;Es stimmt natürlich, dass die Verantwortung durch den Verein eine gute Lösung ist.
PRO;Ich begrüße jegliche Erschließung des Feldes aus dem Süden.
PRO;Ich kenne diese Outdoor Geräte aus dem Preußenpark , Klasse Teile ,ich habe sogar Anleitung und Trainingsstipp bekommen, feine Sache ,das darf auf dem Tempelhofer Feld nicht fehlen !!!
CONTRA;Ich finde dass sich das Feld aktuell bereits sehr gut dafuer eignet Sport zu treiben.
CONTRA;Diese immer in viele Facetten wachsende Sporart sollte nicht in ein Areal gewiesen werden.
PRO;Aktuell ist der Belag m.E. auch noch ok (siehe Argument von blau-7).
PRO;Leinenfreie Zeiten sind eine tolle Idee!
PRO;Der Kletterfelsen überzeugt mich aus mehreren Gründen:
PRO;Super Idee :)
PRO;Daumen hoch!
PRO;Ja, als Golfer traut man sich ja fast gar nicht mehr, solche Wünsche anzumelden.
CONTRA;Nee sorry!
PRO;Und Trinkwasser im Sommer auch.
PRO;Deshalb bin ich für mehr Spiel-Plätze in mehr Gärten und mehr Kinder sowieso!
PRO;Also weg mit der Moralkeule, laßt uns einfach Harald Juhnke mit einem Weg gedenken!
PRO;Schafe!
PRO;Den Vorschlag mit den Bäumen finde ich super!
PRO;Es bietet sich also an so eine Anlage auch auf dem Tempelhofer Feld zubauen.
CONTRA;Ich bin dagegen.
PRO;Toll!!!
PRO;Kann man nur so unterschreiben.
PRO;So eine gute Idee!
PRO;Viel Glück!
PRO;Ich bin auch sehr dafür, den Asphalt auf den ehem. Start/Landebahnen zu pflegen, bevor große Risse und Löcher entstehen.
PRO;So gerne ich also einen Kletterfels sehen würde, so sehr wäre ich auch schon mit einem Boulder zufrieden :-)
PRO;Hört sich spannend an!
PRO;Bin definitiv dafür.
CONTRA;Auf dem Feld sollten keine Flächen für Gewerbe reserviert werden, auch nicht für Cafés.
PRO;- da stellt sich sogar eher die Frage der Erweiterung der Anlagen.
PRO;Bin dafür.
CONTRA;das wird so nicht funktionieren...
CONTRA;"Das Tempelhofer Feld braucht bestimmt keine gewinnorientierten Firmen, die auf öffentlichem Grund ihren Schnitt machen wollen ;)"
PRO;Grundsätzlich eine gute Idee, allerdings war die Brücke mehrspurig geplant um die Bebauung des südlichen Teils sicherstellen zu können.
CONTRA;Allerdings innerhalb des Parks finde ich die vorhandenen Rad/wege ausreichend.
CONTRA;Das neu Anlegen eines sinnfreien s-förmigen und dann auch noch 2,5 m breiten Weges zu Ehren Harald Juhnkes, der mit der Freifläche in THF ungefähr so viel zu tun hat wie Klaus Wowereit mit Hannover, ist trotz der vielen Pro-Stimmen eine Schnapsidee.
PRO;-->Die Ideen sind super thumbsup
CONTRA;Ich bin der Meinung, dass mehr Asphalt das Letzte ist, was das Feld braucht.
PRO;Und ich fand es auch schön.
PRO;Aber ein netteres Essensanbgeot wäre sehr willkommen!
CONTRA;Ich bin dagegen, überall und ständig alle Menschen zu irgendetwas erziehen bzw. unterrichten zu wollen.
PRO;Ich fände es auch schön, wenn die Hunde mal frei laufen können.
CONTRA;Keine gute Idee.
PRO;Und wenn der noch so klein und verschwurbelt ist.
PRO;Ganz der Meinung.
CONTRA;Ich bin gegen Kühe oder Scharfe auf dem Tempelhofer Feld.
PRO;Großartige, nützliche Idee!
PRO;Dafür!!!
PRO;Ich finde diesen Vorschlag großartig.
CONTRA;Sehe ich auch so.
CONTRA;Für Verbrenner will ich mich nicht einsetzen, sollte wenn dann in einem getrennten Vorschlag diskutiert werden.
CONTRA;Dann bin ich dagegen.
PRO;Wenn Finanzierungsaufwand und Ertrag im guten Verhältnis stehen - wovon ich ausgehe, dann sollte das unbedingt realisiert werden.
CONTRA;Gegen ein begehbares Flugzeug hab ich erstmal nichts, aber für die genannten Zwecke eignet sich Form und Konstruktion einfach nicht.
PRO;Ohne Bedachung würde mir besser gefallen.
